"","Blank-AD","D135-T37-1","D135-T37-2","D135-T50-1","D135-T50-2","D135-T65-1","D135-T65-2","D135-T80-1","D135-T80-2","D20-T50-af-1","D20-T50-af-2","D20-T50-bef-1","D20-T50-bef-2","D3-T37-Initial","D3-T50-af-1","D3-T50-af-2","D3-T50-Initial","D3-T65-af-1","D3-T65-af-2","D3-T65-Initial","D3-T80-af-1","D3-T80-af-2","D3-T80-Initial","D43-T37-1","D43-T37-2","D43-T50-1","D43-T50-2","D43-T65-1","D43-T65-2","D43-T80-1","D43-T80-2","D70-T37-1","D70-T37-2","D70-T50-1","D70-T50-2","D70-T65-1","D70-T65-2","D70-T80-1","D70-T80-2","D76-T50-af-1","D76-T50-af-2","D76-T50-bef-1","D76-T50-bef-2","D76-T65-af-1","D76-T65-bef-1","D76-T80-af-1","D76-T80-bef-1","D96-T37-1","D96-T37-2","D96-T50-1","D96-T50-2","D96-T65-1","D96-T65-af-2","D96-T65-bef-2","D96-T80-1","D96-T80-2","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",0.748915704040881,1.17086201181586,0.394188432920159,2.75158925578826,1.37931622038389,1.83616824425308,6.66324961558175,29.2893977799143,47.7533871500732,10.0190100682954,9.8981492038156,9.03295645898485,8.80115278718897,0,0.00569127669564475,0.00418611465768047,0,0,0,0,0,0,0,2.33293285801509,1.76004299341663,13.9292588782858,13.8236622262362,7.71642633184061,15.2535334738008,8.34529607792874,8.56895458481342,1.70475066817558,1.08007552199023,5.4334373420259,4.19444807600122,14.8281774666,25.11306741692,24.7441955580225,25.4132716662752,7.04992867332382,4.73275079900931,8.38607992890737,4.9440620895994,6.18993671380577,11.4747778838388,35.0765431656929,38.2720244669102,1.83315887680335,0.767057369269143,2.53530486791826,2.14706367455443,1.90898837319616,17.6673824103774,17.3900834403081,4.49859336278893,3.33833392163784,"Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae",NA,NA
"ASV3",0.914673422939838,4.74291730847973,2.62641604961711,9.81172351162333,6.07785170859708,3.40812041847555,2.01426169215967,4.45473880488302,4.04947363451825,0.785749489544462,1.08976551514461,1.08401491460188,0.856013106092446,1.19971816551371,1.11193318441159,0.890247050533381,1.20594861130803,1.55448993919805,1.40694052017677,1.08418224977118,3.92107935087508,6.31302328423883,1.40970870514084,2.4461820258799,1.27740055188665,2.81396083064294,2.64356137578084,3.92820666652382,3.27970963227265,6.63099205331966,4.15902474278818,6.74435963497147,4.7136457870576,9.276238952708,7.85723624003138,3.18461098806887,1.5201706221355,9.28345542320024,1.74974255207675,6.14835948644793,4.59951446390767,4.81300458580998,3.88948683262074,8.37467770919603,2.91045598061532,5.18399885476035,4.46117577096254,5.952760205707,5.81639185042933,11.1280943678352,8.63385433342065,5.4750334679077,3.22173033251155,2.04027599486521,1.21702780643966,1.93434521708436,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","butyricum"
"ASV4",1.60948168506033,0.489402772632441,1.46554919670545,3.88536761195008,16.1650067730475,0.907408725357626,2.20489717373906,0.0116539929493343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275737104366494,0.0475407972384998,0.13036083471672,0.280349213516971,0,0,0.0083311971289413,0.00613626601394978,1.21756438965271,4.64145564934103,10.6576951906148,36.9514533490217,1.06808601843252,0,0,0.00812993441852902,7.55682358535426,28.3842437816232,9.22108298890854,32.4005411116487,1.28525666067662,2.42400323078053,0,0.0148670461303203,0.688117234788149,1.81113833520959,4.88037880046519,19.7659865529586,1.44518114834452,0,0,15.7543367639407,9.91440169431698,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Sporanaerobacter","acetigenes"
"ASV5",0,0.206680055374656,0.22060086612963,1.43618166668227,1.00275181679545,11.6103836025906,10.7187497189925,1.9355339956686,1.95250908747581,1.10680842075618,1.5638657697716,0.793841712773635,0.734215650115364,2.14130156290033,1.5956917035414,1.60537497122046,2.15904973454952,2.27444331112318,2.81025863942621,1.92429327241474,1.89299420055413,2.44912302145083,1.81163999764065,0.540641679632876,0.382393369092281,2.24057684669362,1.79310604350117,6.45011534643212,6.9077682594854,2.08023583696488,1.87701559293375,0.311413963866349,0.272101288316304,0.897728659333763,1.00884647230575,4.95731228120311,3.02672777601307,0.29433030725747,0.573612039529548,0.877793628150262,0.678442687940886,0.575112549358238,0.526300198473433,11.9413626064536,5.2904031132976,0.981506169083898,0.239996601818027,0.201155964137805,0.310133986711697,1.43877720551587,1.21857748542267,16.3460423540325,10.6769521688802,8.51732991014121,1.70736654584579,3.68602188492764,"Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,NA
"ASV6",0.592605316270881,2.88767133971572,2.89493431699621,15.725908380223,13.1133015837856,0.00444808198704719,0,0,0,0,0,0,0,0,0,0,0,0.00331165304473381,0,0,0,0,0,0.0758277037007858,0.0361723457249455,4.8345537687521,6.68604651162791,0.00428531636348053,0,0,0,2.80834396795968,1.71682955723382,8.0656126344414,7.4552229049549,0,0,0,0,15.1821207798383,12.0501230188247,13.7817422724491,12.1848863961767,0,0.0128496952786548,0.00178943695366253,0,3.44604742183589,4.01960135090391,18.3277953148364,12.6951324814933,0.00632464397524956,0,0,0,0,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminobacterium","mobile"
"ASV7",0.636406578777859,3.53598377756546,1.01169003770105,4.34786679274607,0.798282457380918,1.70094655184684,1.21305313514437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413605656549741,0,0.493945350293821,0.229547678181681,0.0221408012113161,0.0169176112332939,0,0,18.987423049449,3.06622982378202,25.1224571617829,5.02353248790692,0,0.00605043033685771,0,0,17.9581550166429,3.41755286539861,20.4257174235628,3.62781787840787,0.0771544651925932,0.127579117409501,0,0,9.58175943203022,1.5352184182063,14.0280777537797,1.1865607202802,2.26843897245618,0.0176726842156421,0,5.43164801439268,1.9502294387575,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Sporanaerobacter",NA
"ASV8",0,0.00584943552947141,0,0,0.00425977832113617,0.0391431214860152,0.0341705108491372,0.192290883664015,0.153896992871642,0.338660846300077,0.482651161023068,0.41195573731056,0.464888881264635,9.18972585190879,9.33867364796608,10.1492349875463,9.21987491532366,12.8863043276682,12.2647250597696,9.34390975317553,13.6424650226299,11.4862800220009,11.5759582732964,0.045299667145924,0.0237703986192499,0.0967521820163155,0.125122299992474,1.42843878782684,1.79788068470187,1.87964624455268,1.73792689661755,0.0136444262518761,0.0120316896194284,0.00871581222654139,0,0.26880760162892,0.490084857285474,0.187699476340371,0.4480497190656,0,0,0.00838356485944953,0,0.0673880771935307,0.181731404655261,0.258573639804236,0.125307960241271,0.0191143676330041,0.00331103900403947,0,0.00485102502158706,0.0305691125470395,0.0680398342302221,0.111521181001284,0.0176380841512995,0.0220614189904695,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASV9",0,0.105289839530485,0.0949307005885703,0.734943030212244,0.476243216303024,1.02039000782862,0.642045914375894,3.04169215977624,3.36685077656611,1.27297049919031,1.08026450803785,0.687094058215059,0.708483793218798,3.03100179349219,3.99883328827739,3.79541062296363,2.89002315799423,5.05755652991747,5.04455553140622,3.13423173372424,2.88079299247965,3.01747845749557,3.3789192514135,0.313158568530518,0.173627259479738,0.881972522380307,0.903138405960713,6.86293415611408,7.46989434182802,8.20110228146629,6.46489714936353,0.20225855385134,0.124944469124833,0.354733557620235,0.484812829563777,2.05043937986711,3.91840994690747,2.64166928374756,5.0432693176275,0.372800760817879,0.588528596767997,0.397380974337908,0.515438468298559,0.624072193140089,0.868272266686247,3.41335098911128,2.70367853198539,0.28853593046011,0.0573913427366841,0.48928393420834,0.424949791891027,0.521783127958089,0.644169339660154,0.653080872913992,1.67561799437345,1.07571478997529,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera",NA
"ASV10",0.221582857388242,0.474779183808762,0.541557044310035,6.06398217412064,4.58181756221406,4.54505017436481,2.54929995413958,1.0158397187503,1.32464712269273,0.917411814405407,1.46030479230798,0.95095621842675,0.952078705172961,2.31744811683321,1.81267162756285,2.00096280637127,2.43080170770515,1.62867096740009,1.96116786205897,2.11255552992477,5.6247741313738,6.1632952392593,1.77540719768784,0.924704075000492,1.37764962432435,4.83149843668843,3.77436592157748,1.02419061087185,0.794358745636025,1.48551653422199,1.64179206239901,0.51608035764449,0.701540056271287,2.1684940819635,2.43713775221162,0.697470886618561,0.399328402232609,0.334499455890623,0.541092301855432,4.07608178792202,3.00476544683216,2.85208876518473,2.55151916107946,3.8801859520275,0.94720610911227,0.590514194708635,0.329198878599949,0.790060528830838,1.37849590534843,5.53580328958299,5.42053535912138,5.02282142367736,1.9404607268775,0.850449293966624,0.388037851328589,1.04129897635016,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"ASV11",0.553098295186155,3.97079181858951,22.1730993517589,0.00936233159506043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362240092733464,0,0,0,0,13.6686821735962,14.9557147138767,0.00712910814857061,0.00282230751862723,0,0,0,0,3.20322971595515,22.4150377609951,0.0139452995624662,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69121194192873,18.1279385471161,0.0074763249709254,0,0,0,0,0,0,"Bacteria","Firmicutes","Limnochordia","Hydrogenispora",NA,NA,NA
